title,text,url,source,source_url,source_type,platform,language,country,region,location,date,published_date,query,file_source,description,content,id,favorite,tone,source_name,parent_url,parent_id,children,direct_reach,cumulative_reach,domain_reach,tags
NA LIE! Ngige No Warn APC Make Dem No Celebrate Di Presido Election Victory,"Claim: Chris Ngige bin advise APC make dem no celebrate di presidential election victory because of him experience for court with Peter Obi. 
Verdict: NA LIE. As we confirm from di spokesperson of Ngige wey talk say di minister no make dis kind statement.",https://www.wazobiafm.com/news/fact-check/na-lie-ngige-no-warn-apc-make-dem-no-celebrate-di-presido-election-victory/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Claim: Chris Ngige bin advise APC make dem no celebrate di presidential election victory because of him experience for court with Peter Obi. 
Verdict: NA LIE. As we confirm from di spokesperson of Ngi...","Claim: Chris Ngige bin advise APC make dem no celebrate di presidential election victory because of him experience for court with Peter Obi. 
Verdict: NA LIE. As we confirm from di spokesperson of Ngige wey talk say di minister no make dis kind statement.",radio_web_-3197339241723508191_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
Fasting No Fit Cure Cancer,"Claim: Dem fit use Fasting as treatment for cancer.

Verdict: MOST TIMES NA TRUE. Although dem don prove say fasting dey effective to treat cancer but no be di cure be dat.",https://www.wazobiafm.com/news/fact-check/fasting-no-fit-cure-cancer/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Claim: Dem fit use Fasting as treatment for cancer.

Verdict: MOST TIMES NA TRUE. Although dem don prove say fasting dey effective to treat cancer but no be di cure be dat.","Claim: Dem fit use Fasting as treatment for cancer.

Verdict: MOST TIMES NA TRUE. Although dem don prove say fasting dey effective to treat cancer but no be di cure be dat.",radio_web_1544835974472185554_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
Bukola Saraki Claim Say Inflation Rate No Reach Double Digit Under PDP,Claim: The inflation rate today na around 16% but under di government of Peoples Democratic Party (PDP) na single figure e be .,https://www.wazobiafm.com/news/fact-check/fact-check-of-wetin-bukola-saraki-claim-say-inflation-rate-stay-for-single-digit-under-pdp/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,Claim: The inflation rate today na around 16% but under di government of Peoples Democratic Party (PDP) na single figure e be .,Claim: The inflation rate today na around 16% but under di government of Peoples Democratic Party (PDP) na single figure e be .,radio_web_5713621835073615448_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
How Fake Ibrahim Babangida For Twitter Do Pipo Wayo-Wayo,Former leader dem under di military rule or for democracy get ogbonge role wey dem dey play for election mata inside Nigeria. Different important pipo dey take anything wey dis former leaders dem talk very serious especially di ones wey wan run for office .,https://www.wazobiafm.com/news/fact-check/how-fake-ibrahim-babangida-for-twitter-do-pipo-wayo-wayo/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,Former leader dem under di military rule or for democracy get ogbonge role wey dem dey play for election mata inside Nigeria. Different important pipo dey take anything wey dis former leaders dem talk...,Former leader dem under di military rule or for democracy get ogbonge role wey dem dey play for election mata inside Nigeria. Different important pipo dey take anything wey dis former leaders dem talk very serious especially di ones wey wan run for office .,radio_web_-3121039588592767468_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
"Brighton Equalise Late, Mitoma spoil City Chance to Catch Arsenal","Manchester City title chase don chop another blow after Brighton force dem to 1–1 draw, as Kaoru Mitoma score fine equaliser to frustrate Pep Guardiola side and keep Arsenal firmly for top.",https://www.wazobiafm.com/news/footballrepublik/brighton-equalise-late-mitoma-spoil-city-chance-to-catch-arsenal/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Manchester City title chase don chop another blow after Brighton force dem to 1–1 draw, as Kaoru Mitoma score fine equaliser to frustrate Pep Guardiola side and keep Arsenal firmly for top.","Manchester City title chase don chop another blow after Brighton force dem to 1–1 draw, as Kaoru Mitoma score fine equaliser to frustrate Pep Guardiola side and keep Arsenal firmly for top.",radio_web_7778274547459034512_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
Fulham 2–1 Chelsea: 10-Man Blues No Fit Stop Wilson as Fulham Win,"Fulham don beat Chelsea 2–1 for Craven Cottage on Wednesday night, as dem take advantage of Chelsea red card take move level on points with their West London rivals.",https://www.wazobiafm.com/news/footballrepublik/fulham-2-1-chelsea-10-man-blues-no-fit-stop-wilson-as-fulham-win/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Fulham don beat Chelsea 2–1 for Craven Cottage on Wednesday night, as dem take advantage of Chelsea red card take move level on points with their West London rivals.","Fulham don beat Chelsea 2–1 for Craven Cottage on Wednesday night, as dem take advantage of Chelsea red card take move level on points with their West London rivals.",radio_web_-5951361696273188598_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
Court Order Don Freeze 57 Properties Worth Over ₦213bn Allegedly Linked to Ex-AGF Malami,"Federal High Court for Abuja don order interim forfeiture of 57 properties wey dem suspect say dem get link to alleged illegal money connected to former Attorney-General of the Federation, Abubakar Malami, and two of him sons — Abdulaziz Malami and Abiru Rahman Malami.",https://www.wazobiafm.com/news/hottori/court-order-don-freeze-57-properties-worth-over-₦213bn-allegedly-linked-to-ex-agf-malami/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Federal High Court for Abuja don order interim forfeiture of 57 properties wey dem suspect say dem get link to alleged illegal money connected to former Attorney-General of the Federation, Abubakar Ma...","Federal High Court for Abuja don order interim forfeiture of 57 properties wey dem suspect say dem get link to alleged illegal money connected to former Attorney-General of the Federation, Abubakar Malami, and two of him sons — Abdulaziz Malami and Abiru Rahman Malami.",radio_web_-2960579581108442516_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
Music Power Couple Adekunle Gold & Simi Welcome Twin Babies,"Popular Nigerian music couple Adekunle Gold and Simi don welcome twin babies, and this news don make many of dia fans  and colleagues inside the entertainment industry happy wella.",https://www.wazobiafm.com/news/hottori/music-power-couple-adekunle-gold-and-simi-welcome-twin-babies/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Popular Nigerian music couple Adekunle Gold and Simi don welcome twin babies, and this news don make many of dia fans  and colleagues inside the entertainment industry happy wella.","Popular Nigerian music couple Adekunle Gold and Simi don welcome twin babies, and this news don make many of dia fans  and colleagues inside the entertainment industry happy wella.",radio_web_7251910963821774153_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
"FG Say E No Abandon Nigerian Scholars for Morocco, Confirm End of Govt-Sponsored Overseas Scholarships","Federal Government don deny say dem abandon Nigerian scholarship students wey dey study for Kingdom of Morocco, describe the allegation as fake and misleading.",https://www.wazobiafm.com/news/hottori/fg-say-e-no-abandon-nigerian-scholars-for-morocco-confirm-end-of-govt-sponsored-overseas-scholarships/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,"Federal Government don deny say dem abandon Nigerian scholarship students wey dey study for Kingdom of Morocco, describe the allegation as fake and misleading.","Federal Government don deny say dem abandon Nigerian scholarship students wey dey study for Kingdom of Morocco, describe the allegation as fake and misleading.",radio_web_2008246188084943835_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
"Lagos Go Launch Measles–Rubella Vaccine for Pikin Dem, Target 10.5 Million Children",Lagos State Government don announce plan to roll out Measles and Rubella vaccination exercise to protect children and reduce sickness wey vaccine fit prevent across the state.,https://www.wazobiafm.com/news/hottori/lagos-go-launch-measles-rubella-vaccine-for-pikin-dem-target-10-5-million-children/,Wazobia FM,https://www.wazobiafm.com/news/,radio,radio_website,English,Nigeria,Southwest,Lagos,2026-01-09,2026-01-09,radio_collection,radio_hybrid,Lagos State Government don announce plan to roll out Measles and Rubella vaccination exercise to protect children and reduce sickness wey vaccine fit prevent across the state.,Lagos State Government don announce plan to roll out Measles and Rubella vaccination exercise to protect children and reduce sickness wey vaccine fit prevent across the state.,radio_web_-9045349272685824102_1767942013,False,neutral,Wazobia FM,https://www.wazobiafm.com/news/,web_wazobia_fm,[],0,0,0,"['radio', 'web', 'southwest']"
